location,rep,block,plot,RIL,height
PPAC,2,3,19,RIL-79,144.8
PPAC,2,3,20,RIL-83,142.4
PPAC,2,3,21,RIL-49,154.4
PPAC,2,3,22,RIL-50,176.8
PPAC,2,3,23,RIL-30,200
PPAC,2,4,25,RIL-33,164.8
PPAC,2,4,26,RIL-28,122
PPAC,2,4,27,RIL-7,174
PPAC,2,4,28,RIL-74,144
PPAC,2,4,29,RIL-25,155.2
PPAC,2,4,30,RIL-4,138.4
PPAC,2,4,31,RIL-68,187.2
PPAC,2,5,34,RIL-36,158.4
PPAC,2,5,35,RIL-14,181.2
PPAC,2,5,36,RIL-27,177.6
PPAC,2,5,37,RIL-71,158.8
PPAC,2,5,38,RIL-84,118.8
PPAC,2,5,39,RIL-12,169.2
PPAC,2,5,40,RIL-1,177.6
PPAC,2,6,41,RIL-57,181.2
PPAC,2,6,42,RIL-66,185.6
PPAC,2,6,43,RIL-60,176.4
PPAC,2,6,45,RIL-11,165.2
PPAC,2,6,47,RIL-94,166
PPAC,2,6,48,RIL-37,145.2
PPAC,2,7,49,RIL-15,168.4
PPAC,2,7,50,RIL-22,160
PPAC,2,7,51,RIL-21,152
PPAC,2,7,52,RIL-3,178.4
PPAC,2,7,53,RIL-41,159.2
PPAC,2,7,54,RIL-43,188.4
PPAC,2,7,55,RIL-56,151.2
PPAC,2,7,56,RIL-47,146.8
PPAC,2,8,57,RIL-62,152.8
PPAC,2,8,58,RIL-26,166.8
PPAC,2,8,59,RIL-16,160.4
PPAC,2,8,60,RIL-40,191.6
PPAC,2,8,61,RIL-55,154.4
PPAC,2,8,62,RIL-32,161.2
PPAC,2,8,63,RIL-87,191.2
PPAC,2,8,64,RIL-48,152.8
TPAC,1,1,1,RIL-6,222.4
TPAC,1,1,2,RIL-8,186.4
TPAC,1,1,3,RIL-91,185.6
TPAC,1,1,4,RIL-64,182
TPAC,1,1,5,RIL-50,201.2
TPAC,1,1,6,RIL-3,210.4
TPAC,1,1,7,RIL-1,177.2
TPAC,1,1,8,RIL-36,172
TPAC,1,2,9,RIL-47,176.8
TPAC,1,2,10,RIL-15,197.2
TPAC,1,2,11,RIL-12,186
TPAC,1,2,12,RIL-48,151.6
TPAC,1,2,13,RIL-67,201.6
TPAC,1,2,14,RIL-69,188.4
TPAC,1,2,15,RIL-11,188.4
TPAC,1,2,16,RIL-83,178.8
TPAC,1,3,17,RIL-25,179.2
TPAC,1,3,18,RIL-74,177.6
TPAC,1,3,19,RIL-72,190.4
TPAC,1,3,20,RIL-40,198
TPAC,1,3,21,RIL-51,194
TPAC,1,3,22,RIL-21,161.6
TPAC,1,3,23,RIL-4,150.8
TPAC,1,3,24,RIL-68,194.8
TPAC,1,4,25,RIL-75,214
TPAC,1,4,27,RIL-60,187.6
TPAC,1,4,28,RIL-81,183.6
TPAC,1,4,29,RIL-28,148.4
TPAC,1,4,30,RIL-22,156.8
TPAC,1,4,31,RIL-44,158.4
TPAC,1,4,32,RIL-33,210.4
TPAC,1,5,33,RIL-23,151.6
TPAC,1,5,34,RIL-32,190.8
TPAC,1,5,35,RIL-94,202.8
TPAC,1,5,36,RIL-30,226.4
TPAC,1,5,37,RIL-87,205.6
TPAC,1,5,38,RIL-80,209.6
TPAC,1,5,39,RIL-63,205.2
TPAC,1,5,40,RIL-41,176.4
TPAC,1,6,41,RIL-14,191.2
TPAC,1,6,42,RIL-79,165.6
TPAC,1,6,43,RIL-42,182.8
TPAC,1,6,44,RIL-20,207.2
TPAC,1,6,45,RIL-37,150
TPAC,1,6,46,RIL-26,199.2
TPAC,1,6,47,RIL-86,173.6
TPAC,1,6,48,RIL-24,189.2
TPAC,1,7,49,RIL-34,199.6
TPAC,1,7,50,RIL-55,170.8
TPAC,1,7,51,RIL-84,149.6
TPAC,1,7,52,RIL-66,209.6
TPAC,1,7,53,RIL-7,198.8
TPAC,1,7,54,RIL-43,220.8
TPAC,1,7,56,RIL-16,178.8
TPAC,1,8,57,RIL-49,189
TPAC,1,8,58,RIL-53,169.6
TPAC,1,8,59,RIL-27,200.8
TPAC,1,8,60,RIL-57,201.6
TPAC,1,8,61,RIL-5,151.6
TPAC,1,8,62,RIL-62,182.4
TPAC,1,8,63,RIL-56,178.4
TPAC,1,8,64,RIL-71,187.6
TPAC,2,1,1,RIL-87,216.8
TPAC,2,1,2,RIL-47,190.4
TPAC,2,1,3,RIL-28,164.4
TPAC,2,1,4,RIL-37,174.4
TPAC,2,1,5,RIL-75,209.6
TPAC,2,1,6,RIL-6,209.2
TPAC,2,1,7,RIL-74,181.2
TPAC,2,1,8,RIL-62,192.8
