     site  yield          wt      variety 
 354    3 0.6492   1.3734025     84Y:1426
 355    3 0.7727   1.5009266     84Y:1430
 356    3 1.1060   1.5020361     85W:1487
 357    3 0.8708   1.5031688     85Z:1379
 358    3 1.0390   1.5007737     86Z:1484
 359    3 1.0690   1.4998018     86Z:1494
 360    3 0.7309   7.5133138      BARUNGA
 361    3 0.8135   1.5021004   CO3440-815
 362    3 1.2220   1.5021025   CO3603-103
 363    3 0.6207   1.5021285   CO3617-046
 364    3 0.8831   1.5020293   CO3644-207
 365    3 0.9278   1.5010792   CO3644-208
 366    3 0.5848   1.5010140   CO3644-222
 367    3 0.5562   1.5010253   CO3645-213
 368    3 0.8816   1.5010337   CO3938-011
 369    3 1.2260   1.5021191   CO3938-027
 370    3 0.9734   1.5012538   CO3958-001
 371    3 0.6800   1.5021003   CO4015-108
 372    3 0.6742   1.5020007   CO4025-221
 373    3 0.7743   1.5020252   CO4040-204
 374    3 0.5939   1.5029506   CO4101-321
 375    3 0.8034   1.5031362   CO4101-338
 376    3 0.2421   1.5029909   CO4102-317
 377    3 0.7306   1.4926987   CO4106-301
 378    3 1.1880   1.5030797   CO4108-310
 379    3 0.7327   1.5030760   CO4108-314
 380    3 0.4988   1.5031670   CO4109-311
 381    3 0.4859   1.5029179   CO4109-318
 382    3 0.9487   1.4930118   CO4110-303
 383    3 0.8141   1.5031078   CO4110-308
 384    3 0.8267   1.4928165   CO4110-309
 385    3 0.7586   1.4929393   CO4110-313
 386    3 0.8425   1.5029928   CO4110-314
 387    3 0.7396   1.5022723   CO4110-316
 388    3 0.6461   1.5031033   CO4110-321
 389    3 0.5972   1.5031097   CO4112-306
 390    3 0.8136   1.5031737   CO4113-314
 391    3 0.8442   1.5022537   CO4113-316
 392    3 0.5373   1.4928267   CO4113-332
 393    3 0.5476   1.5031472   CO4113-337
 394    3 1.0040   1.3749018   CO4114-313
 395    3 0.8093   1.5029873   CO4114-330
 396    3 1.0240   1.5031361   CO4114-347
